City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Buin,CL,83.05,clear sky,-33.7333,-70.75,Paihuen
154,Caravelas,BR,76.24,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
161,Adeje,ES,71.92,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
162,Robertsport,LR,80.98,light rain,6.7533,-11.3686,Kwepunha Retreat
163,Asarganj,IN,70.66,clear sky,25.15,86.6833,Bhagwan poddar ji.
166,Belmonte,BR,72.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
182,Butaritari,KI,82.15,few clouds,3.0707,172.7902,Isles Sunset Lodge
186,Lorengau,PG,80.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
189,Voh,NC,74.53,few clouds,-20.9667,164.7,Le gîte du Koniambo
190,Puerto Penasco,MX,76.77,clear sky,31.3167,-113.5333,Playa Bonita Resort
193,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
196,Sam Phran,TH,82.02,overcast clouds,13.727,100.2153,Suan Sampran
199,Guerrero Negro,MX,72.82,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
200,Namatanai,PG,79.18,light rain,-3.6667,152.4333,Seagulls Inn Namatani
208,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
209,Inongo,CD,74.66,light rain,-1.95,18.2667,Hotel Du Lac
213,Secunda,ZA,78.31,broken clouds,-26.55,29.1667,Peermont Walmont Hotel at Graceland
215,Loharu,IN,70.23,clear sky,28.45,75.8167,Sainik Guest House
218,Inirida,CO,84.33,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
221,Campos Gerais,BR,77.63,broken clouds,-21.235,-45.7586,Hotel Paraíso
223,Port Blair,IN,79.65,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
226,Neiafu,TO,77.72,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
227,Harper,LR,82.71,light rain,4.375,-7.7169,Screensaver
228,Cockburn Town,TC,81.77,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
231,Umm Lajj,SA,78.76,clear sky,25.0213,37.2685,Moon light Furnished Units
233,Sibolga,ID,77.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
234,Mitsamiouli,KM,80.96,clear sky,-11.3847,43.2844,Foyer ADM
238,Santiago Del Estero,AR,70.88,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
249,Atambua,ID,75.18,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
251,Labuhan,ID,78.19,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
252,Changuinola,PA,84.15,clear sky,9.4333,-82.5167,ApartHotel Villa Esmeralda
257,Sechura,PE,73.9,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
259,Grand-Lahou,CI,83.07,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
260,Fare,PF,75.16,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
262,Kapit,MY,73.81,light rain,2.0167,112.9333,Hotel Meligai Kapit
264,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
265,Muli,MV,83.14,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
269,Kulhudhuffushi,MV,81.05,overcast clouds,6.6221,73.07,Haajy Guest House 1
271,Impfondo,CG,78.46,light rain,1.6381,18.0667,Auberge La Place de Jules
274,Alugan,PH,79.75,overcast clouds,12.2188,125.4808,JM Lodge
275,Nakapiripirit,UG,78.04,overcast clouds,1.9167,34.7833,
277,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
279,Asyut,EG,76.5,clear sky,27.181,31.1837,Florence Hotel Assiut
287,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
297,Marzuq,YE,72.05,clear sky,14.4,46.4667,
300,Meulaboh,ID,77.25,overcast clouds,4.1363,96.1285,Kost Pria
306,Chuy,UY,77.23,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
308,Sao Filipe,CV,76.08,overcast clouds,14.8961,-24.4956,Hotel Xaguate
310,Buenavista,PH,75.06,overcast clouds,8.9769,125.4089,Room For Rent
319,Imbituba,BR,78.82,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
320,Daru,PG,79.56,overcast clouds,-9.0763,143.2092,Daru Lodge
322,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
325,Tautira,PF,75.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
326,Pontianak,ID,75.18,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
327,Cairo,EG,79.56,broken clouds,30.0626,31.2497,Grand Hotel
330,Kahului,US,73.42,light rain,20.8947,-156.47,Maui Seaside Hotel
333,Port-Gentil,GA,76.55,overcast clouds,-0.7193,8.7815,Fengshui Residence
338,Yanam,IN,81.0,overcast clouds,16.7333,82.2167,The Regency Hotel
341,Malpe,IN,76.3,moderate rain,13.35,74.7167,Hotel Sri Krishna Residency
343,Mae Sot,TH,71.28,broken clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
344,Mahebourg,MU,77.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
345,Lusambo,CD,76.8,overcast clouds,-4.9667,23.45,
352,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
353,Lake Worth,US,75.99,clear sky,26.6159,-80.057,Four Seasons Resort Palm Beach
354,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
358,Playas,EC,73.42,broken clouds,-2.6333,-80.3833,Hostal Promenade
360,San-Pedro,CI,82.58,light rain,4.7485,-6.6363,Hotel Maria
362,Sulangan,PH,82.6,overcast clouds,11.1373,123.7228,Maia's Beach Resort
364,Kudahuvadhoo,MV,83.17,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
371,Inhambane,MZ,76.75,scattered clouds,-23.865,35.3833,Oceano
381,Wewak,PG,78.35,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
383,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
387,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
393,Alta Floresta,BR,79.25,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
394,Angoram,PG,73.94,overcast clouds,-4.0625,144.0661,
396,Sinnamary,GF,84.6,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
398,Ngaoundere,CM,78.91,few clouds,7.3167,13.5833,Hotel Mentong Palace
399,Bangassou,CF,77.49,light rain,4.7413,22.8184,
402,Kavieng,PG,82.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
405,Biak,ID,76.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
406,Camacari,BR,74.97,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
407,Yei,SS,72.39,broken clouds,4.095,30.6779,City Link Hotel
413,Ontario,US,80.53,clear sky,34.0633,-117.6509,American Inn
418,Mutoko,ZW,71.11,moderate rain,-17.397,32.2268,Mutoko Hotel
419,Grand Gaube,MU,77.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
422,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
423,Lazaro Cardenas,MX,81.52,clear sky,17.9583,-102.2,quinta antigua
425,Diego De Almagro,CL,80.4,clear sky,-26.3667,-70.05,hotel luna del desierto
432,Maua,BR,82.08,scattered clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
433,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
434,Castro,BR,74.37,few clouds,-24.7911,-50.0119,CHACARA BAILLY
437,Banda Aceh,ID,79.63,broken clouds,5.5577,95.3222,Sulthan Hotel International
438,Harlingen,US,78.75,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
442,Pipar,IN,70.0,clear sky,26.3856,73.5378,Aadam Mansion
445,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
450,Miramar,US,79.02,clear sky,25.9873,-80.2323,Miramar
451,Karratha,AU,78.12,clear sky,-20.7377,116.8463,ibis Styles Karratha
452,Beloha,MG,73.9,broken clouds,-25.1667,45.05,
455,San Rafael,AR,70.92,clear sky,-34.6177,-68.3301,Hotel San Rafael
459,Jizan,SA,84.33,clear sky,17.3333,42.6667,شهدان. ابوالحجر
463,Antalaha,MG,75.2,clear sky,-14.9003,50.2788,Hotel Vitasoa
469,Sokoni,TZ,80.98,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
470,Sola,VU,81.36,overcast clouds,-13.8833,167.55,Leumerus Bungalows
472,Sanger,US,72.99,fog,36.708,-119.556,Townhouse Motel
473,Poya,NC,77.47,overcast clouds,-21.35,165.15,
474,Mangaratiba,BR,78.03,scattered clouds,-22.9597,-44.0406,Portobello Resort & Safari
475,Japura,ID,75.6,broken clouds,-0.3167,102.35,Rumah mbah Jamah
477,Lumphat,KH,72.12,overcast clouds,13.4878,106.9816,Lumphat Homestay
485,Thinadhoo,MV,82.15,overcast clouds,0.5333,72.9333,
487,Quang Ngai,VN,72.19,overcast clouds,15.1167,108.8,Central Hotel
492,Ouesso,CG,75.97,overcast clouds,1.6136,16.0517,ABENIE Hotel
